,SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,V,Ga,Cu,Zn,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Th,Nb,Y,Hf,Ta,U,Pb,Rb,Cs,Sr,Sc,Zr,Latitude,Longitude,Rock_Type,Period,S_Domain,Color
G22032A,51.9228302336286,1.7577390211379271,18.07702963018059,8.690276380907413,0.1986699997520667,5.264916689034559,9.109714779732856,2.806281119666605,1.6213757277649676,0.5511664181944206,56.26404,188.87422400000003,203.1,18.4,42.05,66.28,38.79507408148879,72.78512761243792,8.27940500219166,31.327959368557632,6.100609087044459,1.898916351614624,5.483483291053205,0.826428920969035,4.553694192709363,0.9129196982090207,2.4359872547639685,0.3551204240475499,2.1792277645881564,0.3410462783872026,1200.8048909785784,6.8692635832453925,56.51238007707065,24.403798405085546,3.3569402805507718,3.4227476192107624,1.5017248521045905,4.998950498410552,27.75523684105533,0.9704078829771312,632.1454153266756,21.152227444649203,143.18858899325858,42.984378,42.239925,Basalt,Jurassic,Khaishi Limbs,#44AA99
G22033,43.57045640529286,2.251793165778897,15.304993088005608,10.32675465304352,0.1780880162896585,6.908789450181292,16.757152899298546,2.316533020530867,1.790388161366759,0.5950511402119965,84.2309476702,206.1115056,275.93280000000004,17.3349,128.6703,76.4775,38.81299757428555,71.16631200171321,8.60225328754713,33.25252617365189,6.512390537377794,2.0916060815790223,6.158260294034355,0.9370909900806484,5.053647149292968,0.9847286386830072,2.583866269380357,0.357632617066099,2.15236789792168,0.3127306141106906,330.1560559898574,6.1162126075064736,60.39768671771929,26.549553280738003,3.5802569903280594,3.713541144472225,1.2854596760496153,2.0929967786345443,54.826306922169934,0.8475753224420761,465.34233459254233,28.54340032689385,145.4932464257198,42.983254,42.235911,Basalt,Jurassic,Khaishi Limbs,#44AA99
G22034,52.44571061662516,0.9096283459102052,16.035225630428034,7.703528693033941,0.1693539924424482,7.958702561401212,9.167038102570338,3.3793913853883875,1.993805592006492,0.2376150801937908,104.2255553963,241.89138288,228.74655,14.13475,52.0277,61.3655,18.13918033960736,37.00831308165005,4.581712905628543,18.958924940853063,4.315478621423845,1.297824670465498,4.23803172955719,0.672335281520843,3.868253259727112,0.7881211740330571,2.1826328314719645,0.3390703176715837,2.093085083489243,0.3352334241321601,262.2137125489359,4.138679615375876,6.642147185259285,21.961410118417447,2.30072195277254,0.4412344998195983,1.1231207102398202,4.332558527009788,48.48521344279568,0.4082578586631087,380.0263022079737,29.11910562807637,87.12015231692746,42.976174,42.220026,Basalt,Jurassic,Khaishi Core,#88CCEE
G22035,53.66752808884691,0.8919887737238449,16.366300999640817,7.255294864709376,0.1492308436482721,7.050385478706818,8.648699273091415,4.123299668913363,1.5836994634893875,0.2635725452298104,84.266064516,163.402456,242.893,13.4848,54.978,57.9964,18.951744743726465,39.670855385494605,4.843049820661777,19.908055348560517,4.501759119069816,1.2981123467709206,4.396822800850411,0.681573280106252,3.743116338313743,0.7588454816496802,2.099706812706739,0.307030858334811,1.9257909785385587,0.3143371083043483,214.26988153611745,4.603202449533643,7.07358205531341,20.92944465484512,2.4285736711276265,0.4731054373907738,1.2979205281395023,5.004126686448483,46.64529497637983,0.6848085377554094,416.2005001757208,26.313538310147,90.6489286452679,42.974709,42.218841,Basalt,Jurassic,Khaishi Core,#88CCEE
G22036A,58.06362387446696,0.6780245734150677,15.869224849401586,5.709471114295571,0.1172738574219348,5.969637400255982,7.749260531682313,3.0013533954303,2.5953347663402595,0.2467956372900246,49.87321664905,91.47304152,219.66485,14.17415,67.07849999999999,44.90615,17.453245728828247,34.96488516880633,4.3273486833246775,17.807625301774586,4.039798031354621,1.32281391088891,3.7719111991356193,0.5652035550162589,3.138690010372479,0.6204070764697341,1.678483082517204,0.2539410566097458,1.557872343994489,0.2332320518786216,443.3896145844557,3.525350806314098,3.97707712064764,17.368998986217502,1.7133901410896912,0.2669002309269425,0.9915997190793772,4.312490606935289,52.76010168474598,1.4025378501945287,559.648244905905,24.155525788717902,62.87508942070354,42.972482,42.211343,Breccia,Jurassic,Khaishi Core,#88CCEE
G22037,56.73115953216686,0.8202110136487122,15.621328758201347,8.007128535511294,0.143245528561686,6.448195934526263,8.711495734841384,1.8332564790228632,1.38245738164351,0.3015211018760972,42.9939846006,108.45438912,257.5485,14.2857,69.83460000000001,72.78479999999999,20.38940397650315,43.31889591282585,5.351959436829072,22.62097290049015,5.074566563333018,1.5303407436439882,5.036584402036385,0.7446122239852105,4.048808356135536,0.7914140755920162,2.1519547380108426,0.3112870716660603,1.970303533680184,0.3131628953929153,281.9603676770548,4.3850970594288725,4.971106395565188,21.96572590492772,2.3848818203114903,0.3168251975797947,1.23055396404095,3.5016759268898348,29.737663871510943,0.6299726594804638,502.5246158845962,32.22015796561382,91.65728317459272,42.965997,42.204391,Basalt,Jurassic,Khaishi Core,#88CCEE
G22038,51.44193112934934,0.8947333302537099,15.763772333687491,8.954621745222736,0.1351954791124525,7.647937422047028,9.77523879915208,2.6659275569858707,2.325013216718251,0.3956289874710645,73.806734657,202.63952016,286.7436,13.8501,50.8464,67.79520000000001,26.185164172952888,50.416287617373285,6.219122322999297,25.967980334927,5.933504168129489,1.7838567628544866,5.674763160525166,0.8247591434240573,4.512567597595117,0.8852311871286229,2.3672334674991355,0.3497594301043399,2.0836754198106373,0.3277114270276492,407.2594441901496,4.356156990679404,4.980722974625174,24.71926964515854,2.25520088878866,0.3123815980727442,0.912987003714521,4.331380414753017,61.93356777749212,0.9498898293756972,588.4781749212074,37.88171659371928,87.04732582888263,42.963399,42.200553,Basalt,Jurassic,Khaishi Core,#88CCEE
G22039,55.22838493325411,0.9978276417958846,14.20457518955544,8.11417348286382,0.1620289846149425,7.665130521068386,8.57091256489112,3.708298572523619,1.0561129256852368,0.2925551837474359,66.1549417464,192.79553832,254.0736,13.0482,51.8364,63.4194,20.225606637928312,41.48748848446887,5.189767492969875,21.52275002034567,4.984774424316012,1.4870535562105631,4.983654845969287,0.750502763560375,4.121437053564309,0.8124939187327568,2.2072750400324224,0.3260012302942211,1.9031286232379263,0.3041836275334464,204.75828504858177,3.8141688640301576,7.378836374013287,22.39189669805121,2.301617826543755,0.4759174116119481,0.9674304827809068,2.859147267492248,25.262174867648405,0.1919026558576158,400.65028634983264,29.87732164556176,87.51867761949065,42.955641,42.19319,Basalt,Jurassic,Khaishi Core,#88CCEE
G22041A,51.63880020512141,1.5450274598028186,17.653675643485737,9.472494706544037,0.1994350889962284,3.5002977568980347,8.553170283861574,4.855195030768213,2.081816978760008,0.5000868457619269,38.596007444200005,96.57702432000002,212.8305,20.28805,33.85985,93.83845,39.38538565819008,71.78131050839899,8.061803929524098,30.204200554487368,6.012733757626821,1.85725787425324,5.686897258311404,0.8798415761087498,4.975191374687789,1.0291179706450264,2.815828555769143,0.4285502505270194,2.700209196028902,0.4053353603320114,607.2700994109659,8.028837285246444,50.10732170174237,28.263113150494085,4.202135473952963,3.127809342195122,1.839741779366919,4.3286096205587326,49.87941140493992,0.5661295516682365,589.7387196425777,17.123611139293374,194.08494534340971,42.952239,42.193136,Basalt,Jurassic,Khaishi Limbs,#44AA99
G22041C,46.43236642017589,1.806959254052105,16.572937876065048,9.423111607521191,0.2415290975742786,4.8104816892043125,14.45426158155383,3.749513790952927,1.82695086626698,0.6818878166334562,83.99995885999999,179.8212556,219.52685,15.9399,40.7154,106.53465,28.285066212822063,57.236342784618216,6.996455689123338,28.323929983607343,6.011022960754953,1.9653578839705408,5.615578319715797,0.8258968333095088,4.6022745933944025,0.8789109971118901,2.388047133083693,0.333075727867111,2.0400177550236536,0.3087181898311695,411.6222497097216,4.334051373521995,25.908117566210485,24.50006394354436,2.559451335084269,1.6448517624449803,1.1958612052742368,2.507476102511223,49.54402432233903,1.0417207355295266,761.9323755225306,21.02492822070737,105.09123455638112,42.952238,42.193134,Basalt,Jurassic,Khaishi Limbs,#44AA99
