,div1,div1_color,div2,div2_color
C11kz,Carboniferous,#67A599,Mississippian,#678F66
C12-Tch,Carboniferous,#67A599,Mississippian,#678F66
C3kupsilon1,Carboniferous,#67A599,Pennsylvanian,#7EBCC6
Cr1,Cretaceous,#7FC64E,Lower Cretaceous,#8CCD57
Cr1ap+al,Cretaceous,#7FC64E,Lower Cretaceous,#8CCD57
Cr1b,Cretaceous,#7FC64E,Lower Cretaceous,#8CCD57
Cr1v+h,Cretaceous,#7FC64E,Lower Cretaceous,#8CCD57
Cr2,Cretaceous,#7FC64E,Upper Cretaceous,#A6D84A
Cr2cm,Cretaceous,#7FC64E,Upper Cretaceous,#A6D84A
Cr2t-d,Cretaceous,#7FC64E,Upper Cretaceous,#A6D84A
D2+3kr,Devonian,#CB8C37,Middle Devonian,#F1C868
Enk,Eocene,#FDB46C,Eocene,#FDB46C
Ice,,#FFFFFF,,#FFFFFF
J12mr2,Jurassic,#34B2C9,Lower Jurassic,#42AED0
J12ms11,Jurassic,#34B2C9,Lower Jurassic,#42AED0
J12ms12,Jurassic,#34B2C9,Lower Jurassic,#42AED0
J12ms2,Jurassic,#34B2C9,Lower Jurassic,#42AED0
J13,Jurassic,#34B2C9,Lower Jurassic,#42AED0
J13s1,Jurassic,#34B2C9,Lower Jurassic,#42AED0
J2bj,Jurassic,#34B2C9,Middle Jurassic,#80CFD8
J2bt,Jurassic,#34B2C9,Middle Jurassic,#80CFD8
J2ch3,Jurassic,#34B2C9,Middle Jurassic,#80CFD8
J2hd1,Jurassic,#34B2C9,Middle Jurassic,#80CFD8
J2hd2,Jurassic,#34B2C9,Middle Jurassic,#80CFD8
J2hd3,Jurassic,#34B2C9,Middle Jurassic,#80CFD8
J2hd4,Jurassic,#34B2C9,Middle Jurassic,#80CFD8
J2s2,Jurassic,#34B2C9,Middle Jurassic,#80CFD8
J2tl1,Jurassic,#34B2C9,Middle Jurassic,#80CFD8
J2tl2,Jurassic,#34B2C9,Middle Jurassic,#80CFD8
J3cupsilon,Jurassic,#34B2C9,Upper Jurassic,#B3E3EE
J3km,Jurassic,#34B2C9,Upper Jurassic,#B3E3EE
J3km+t,Jurassic,#34B2C9,Upper Jurassic,#B3E3EE
K1b,Cretaceous,#7FC64E,Lower Cretaceous,#8CCD57
K1brdashh,Cretaceous,#7FC64E,Lower Cretaceous,#8CCD57
N12,Neogene,#FFE619,Miocene,#FFFF00
N1m,Neogene,#FFE619,Miocene,#FFFF00
N1s,Neogene,#FFE619,Miocene,#FFFF00
N1s1+2,Neogene,#FFE619,Miocene,#FFFF00
N2gr,Neogene,#FFE619,Pliocene,#FFFF99
N2pn,Neogene,#FFE619,Pliocene,#FFFF99
O-S1dl,Ordovician,#009270,Ordovician,#009270
Pg1+Pg21+2,Paleogene,#FD9A52,Paleocene,#FDA75F
Pg22(1),Paleogene,#FD9A52,Eocene,#FDB46C
Pg22(2+3),Paleogene,#FD9A52,Eocene,#FDB46C
Pg23,Paleogene,#FD9A52,Eocene,#FDB46C
Pg3+N11,Paleogene,#FD9A52,Oligocene,#FEC07A
Q,Quaternary,#F9F97F,Quaternary,#F9F97F
S2-D1+2lh,Silurian,#B3E1B6,Wenlock,#B3E1C2
S2-D1bl,Silurian,#B3E1B6,Wenlock,#B3E1C2
Tmr1,Triassic,#812B92,Triassic,#812B92
Tmr2,Triassic,#812B92,Triassic,#812B92
Tms1,Triassic,#812B92,Triassic,#812B92
betaCr2t,Cretaceous,red,Upper Cretaceous,red
betaJ2,Jurassic,red,Middle Jurassic,red
betaTr,Triassic,red,Triassic,red
betamuJ2,Jurassic,red,Middle Jurassic,red
cJ2bt,Jurassic,#34B2C9,Middle Jurassic,#80CFD8
deltaJ2,Jurassic,red,Middle Jurassic,red
gamma1C12-C2,Carboniferous,red,Mississippian,red
gamma2C12-C2,Carboniferous,red,Mississippian,red
gammaD3-C11,Devonian,red,Mississippian,red
gammaJ2,Jurassic,red,Middle Jurassic,red
gammadeltaJ2,Jurassic,red,Middle Jurassic,red
muthetaTr,Triassic,red,Triassic,red
pC12-C2,Carboniferous,#67A599,Mississippian,#678F66
phiupsilonJ2,Jurassic,red,Middle Jurassic,red
qdeltaJ2,Jurassic,red,Middle Jurassic,red
qdeltamuJ2,Jurassic,red,Middle Jurassic,red
upsilionbetaJ2,Jurassic,red,Middle Jurassic,red
