Sample_Num,OID_,Date,Latitude,Longitude,Elevation,Rock_Class,Rock_Type,Petrology,Geochemistry,DZ,Geochron,Thermochron,Structure,Biostrat,RSCM,Other,Notes,Project,Transect,S_Domain,Sub_S_Domain,Unit,Period,Epoch,Age,Barrel,Bags,Location,GlobalID,created_user,created_date,last_edited_user,last_edited_date
G22019,27,8/29/2022 8:33:43,43.035811,42.346224,876.4616089,Igneous,Intermed. Plutonic,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,J2i Jurassic intermediate intrusive; intruded in to Dizi series Devonian metasedimentary rock.,MzMg,Enguri,Dizi,Dizi Series,buJ2,Jurassic,Middle,Bajocian,1,1,Davis,{E9BAA64B-EE26-4CAE-B089-D80A3A58BE27},naniemi_umich,8/29/2022 8:23:57,naniemi_umich,8/29/2022 8:34:46
G22020,28,8/29/2022 9:06:43,43.030341,42.334547,892.1785889,Igneous,Intermed. Plutonic,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,J2i intermediate intrusion into Dizi series,MzMg,Enguri,Dizi,Dizi Series,buJ2,Jurassic,Middle,Bajocian,1,1,Davis,{3DD07C8A-B19D-465B-9680-79FF507ECAAC},naniemi_umich,8/29/2022 8:53:39,naniemi_umich,8/29/2022 9:07:04
G22032A,45,8/30/2022 7:23:12,42.984378,42.239925,723.0996094,Igneous,Basalt,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,"J2hd1, base of volcanic section. See station notes and photos.",MzMg,Enguri,Khaishi,N Limb of Khaishi Syncline,J2hd1,Jurassic,Middle,Bajocian,1,1,Davis,{3471CA1F-BCAC-4E85-A697-440E52EFFCBF},naniemi_umich,8/30/2022 7:14:23,naniemi_umich,8/30/2022 7:23:20
G22032C,47,8/30/2022 7:39:00,42.984378,42.239925,722.5328369,Igneous,Basalt,1.0,0.0,0,0.0,0,0.0,0.0,0.0,,"Hand sample from J2hd1 for thin section. Ash or mafic tuff? Glass and ash visible with hand lens, along with small lithium fragments.",MzMg,Enguri,Khaishi,N Limb of Khaishi Syncline,J2hd1,Jurassic,Middle,Bajocian,1,1,Davis,{75089287-E1BB-4836-99A6-4C5B87373781},naniemi_umich,8/30/2022 7:39:13,naniemi_umich,8/30/2022 7:39:13
G22033,48,8/30/2022 8:00:00,42.983254,42.235911,750.3400269,Igneous,Basalt,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,Pillow basalt in J2hd1.,MzMg,Enguri,Khaishi,N Limb of Khaishi Syncline,J2hd1,Jurassic,Middle,Bajocian,1,1,Davis,{0D5247AA-D238-4AF8-A332-3D70A8AAC428},naniemi_umich,8/30/2022 8:00:23,naniemi_umich,8/30/2022 8:00:23
G22034,49,8/30/2022 8:25:28,42.976174,42.220026,729.5234985,Igneous,Basalt,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,Coarse-grained mafic igneous rock near base of J2hd3.,MzMg,Enguri,Khaishi,N Limb of Khaishi Syncline,J2hd3,Jurassic,Middle,Bajocian,1,1,Davis,{D3D6D435-9BC5-484B-9C6B-A9D89D7ECEBF},naniemi_umich,8/30/2022 8:25:17,naniemi_umich,8/30/2022 8:25:51
G22035,50,8/30/2022 9:17:03,42.974709,42.218841,726.0866089,Igneous,Basalt,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,"Basalt with mini pillows in unit J2hd3. Beautiful, clean rock. Coarse grained, large phenocrysts of olivine and pyroxene. Two bags collected, A and B, for geochem and thin section and hand sample.",MzMg,Enguri,Khaishi,N Limb of Khaishi Syncline,J2hd3,Jurassic,Middle,Bajocian,1,1,Davis,{D686A32A-F11A-4322-BD4D-8D0F41DB73A0},naniemi_umich,8/30/2022 9:04:51,naniemi_umich,8/30/2022 9:17:58
G22036A,51,8/30/2022 9:53:19,42.972482,42.211343,693.864624,Sedimentary,Breccia,1.0,1.0,0,0.0,0,0.0,0.0,1.0,,"Basaltic blocks for geochem from block and ash deposit near top of exposed J2hd3, center of Khaishi syncline.",MzMg,Enguri,Khaishi,N Limb of Khaishi Syncline,J2hd3,Jurassic,Middle,Bajocian,1,1,Davis,{32A36600-D320-4EB9-BD15-53E529520719},naniemi_umich,8/30/2022 9:47:56,naniemi_umich,8/30/2022 9:53:26
G22037,53,8/30/2022 11:17:17,42.965997,42.204391,668.0900879,Igneous,Basalt,1.0,1.0,0,0.0,0,0.0,0.0,0.0,,Basalt near center of Khaishi syncline in unit J2hd3.,MzMg,Enguri,Khaishi,S Limb of Khaishi Syncline,J2hd3,Jurassic,Middle,Bajocian,1,1,Davis,{2F42D2EE-9D30-4426-A4DA-14B3FD338B63},naniemi_umich,8/30/2022 11:15:45,naniemi_umich,8/30/2022 11:17:28
G22038,54,8/30/2022 11:44:02,42.963399,42.200553,622.5252075,Igneous,Basalt,1.0,1.0,0,1.0,0,0.0,0.0,0.0,,Sample of fine grained mafic lava near lower contact of J2hd3. Just upriver of the Neskra tributary.,MzMg,Enguri,Khaishi,S Limb of Khaishi Syncline,J2hd3,Jurassic,Middle,Bajocian,1,1,Davis,{8DD77992-3FC2-41D6-BDB0-DC8E4D10F00C},naniemi_umich,8/30/2022 11:43:50,naniemi_umich,8/30/2022 11:44:10
